num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
55,5,0.7609,0.7609,0.0,0.0,0.0,0.0,0.0
56,5,0.758,0.8639,0.1038,0.0021,0.0,0.0,0.1054
57,5,0.7574,0.7574,0.0,0.0,0.0,0.0,0.0
58,5,0.7435,0.8542,0.109,0.0017,0.0,0.0,0.1043
59,5,0.7541,0.7541,0.0,0.0,0.0,0.0,0.0
60,5,0.7492,0.8549,0.1039,0.0018,0.0,0.0,0.102
61,5,0.7493,0.7493,0.0,0.0,0.0,0.0,0.0
62,5,0.7549,0.8557,0.0994,0.0014,0.0,0.0,0.1018
63,5,0.7497,0.7497,0.0,0.0,0.0,0.0,0.0
64,5,0.756,0.8552,0.0981,0.0011,0.0,0.0,0.1002
65,5,0.7455,0.7455,0.0,0.0,0.0,0.0,0.0
66,5,0.7612,0.8562,0.0939,0.0011,0.0,0.0,0.0971
67,5,0.7625,0.7625,0.0,0.0,0.0,0.0,0.0
68,5,0.7558,0.8505,0.0942,0.0005,0.0,0.0,0.0959
69,5,0.7497,0.7497,0.0,0.0,0.0,0.0,0.0
70,5,0.7571,0.8492,0.0906,0.0015,0.0,0.0,0.0954
71,5,0.7521,0.7521,0.0,0.0,0.0,0.0,0.0
72,5,0.7546,0.8403,0.0844,0.0013,0.0,0.0,0.0935
73,5,0.7496,0.7496,0.0,0.0,0.0,0.0,0.0
74,5,0.7646,0.8499,0.0837,0.0016,0.0,0.0,0.0929
75,5,0.7499,0.7499,0.0,0.0,0.0,0.0,0.0
76,5,0.7653,0.8538,0.0874,0.0011,0.0,0.0,0.0907
77,5,0.7489,0.7489,0.0,0.0,0.0,0.0,0.0
78,5,0.7569,0.8439,0.086,0.001,0.0,0.0,0.0895
79,5,0.7504,0.7504,0.0,0.0,0.0,0.0,0.0
80,5,0.7599,0.8457,0.0851,0.0007,0.0,0.0,0.0879
